Name,Count,Surname rank among whites,% of people with surname self-identifying as 'white',U.S. Rank,U.S. total occurrences
LANGFORD,14989.00,1517,80.40%,1763,"18,650"
KEENE,14983.00,1518,87.30%,1925,"17,161"
CRAIN,14975.00,1519,87.50%,1934,"17,110"
ALTMAN,14975.00,1519,94.10%,2091,"15,916"
CODY,14969.00,1521,79.40%,1739,"18,853"
SPICER,14956.00,1522,83.50%,1846,"17,901"
SEWELL,14955.00,1523,72.10%,1586,"20,736"
SAUER,14951.00,1524,96.60%,2151,"15,474"
GOINS,14950.00,1525,68.40%,1498,"21,872"
MOSHER,14934.00,1526,95.80%,2134,"15,595"
NAGY,14933.00,1527,96.10%,2146,"15,545"
HELM,14930.00,1528,89.40%,1991,"16,700"
SYKES,14917.00,1529,56.50%,1214,"26,425"
EUBANKS,14910.00,1530,76.00%,1673,"19,616"
ROCHE,14901.00,1531,83.20%,1845,"17,905"
RUSHING,14879.00,1532,78.90%,1739,"18,853"
HENLEY,14852.00,1533,73.20%,1619,"20,276"
THORPE,14850.00,1534,70.80%,1569,"20,960"
CLEARY,14829.00,1535,94.50%,2120,"15,685"
GILLIS,14815.00,1536,80.40%,1786,"18,438"
ERVIN,14814.00,1537,60.40%,1321,"24,511"
SILVERMAN,14808.00,1538,96.80%,2179,"15,299"
ROPER,14790.00,1539,75.80%,1680,"19,520"
RUDOLPH,14779.00,1540,75.90%,1688,"19,462"
POSEY,14777.00,1541,75.20%,1669,"19,648"
HUGGINS,14761.00,1542,68.70%,1538,"21,499"
BURROWS,14757.00,1543,86.90%,1946,"16,972"
LUNSFORD,14754.00,1544,88.20%,1981,"16,736"
BAIN,14749.00,1545,87.60%,1965,"16,845"
LACY,14732.00,1546,66.20%,1467,"22,250"
DENNY,14732.00,1546,84.80%,1899,"17,366"
EASTMAN,14731.00,1548,90.40%,2042,"16,295"
CROCKETT,14720.00,1549,64.40%,1434,"22,850"
RAINEY,14715.00,1550,65.70%,1462,"22,397"
MOTT,14715.00,1550,86.50%,1941,"17,013"
GAUTHIER,14711.00,1552,89.60%,2025,"16,419"
WESTBROOK,14693.00,1553,74.30%,1660,"19,781"
CULVER,14681.00,1554,85.20%,1915,"17,231"
HAUSER,14673.00,1555,93.80%,2125,"15,648"
REAGAN,14668.00,1556,93.60%,2122,"15,673"
IRVIN,14660.00,1557,70.60%,1583,"20,776"
RIDER,14660.00,1557,91.40%,2071,"16,048"
DOBSON,14652.00,1559,79.90%,1798,"18,342"
HANKS,14649.00,1560,85.50%,1928,"17,141"
SAYLOR,14631.00,1561,94.10%,2145,"15,547"
STAUFFER,14624.00,1562,97.20%,2217,"15,045"
SCHAEFFER,14611.00,1563,94.60%,2156,"15,448"
JARRETT,14592.00,1564,71.40%,1610,"20,449"
FAGAN,14586.00,1565,86.90%,1975,"16,779"
LOMBARDO,14581.00,1566,94.90%,2167,"15,368"
OAKLEY,14579.00,1567,87.10%,1984,"16,733"
STREET,14563.00,1568,75.40%,1701,"19,322"
KYLE,14551.00,1569,82.00%,1861,"17,750"
CORNELIUS,14547.00,1570,75.20%,1699,"19,342"
HUDDLESTON,14527.00,1571,86.10%,1957,"16,872"
MONAHAN,14526.00,1572,96.50%,2213,"15,058"
HUMPHRIES,14513.00,1573,81.60%,1857,"17,785"
CHRISTIE,14509.00,1574,82.50%,1874,"17,582"
REDMOND,14478.00,1575,69.20%,1573,"20,919"
PARR,14468.00,1576,89.80%,2057,"16,120"
HUMMEL,14463.00,1577,97.20%,2244,"14,878"
STONER,14452.00,1578,92.70%,2136,"15,590"
JACOB,14431.00,1579,67.60%,1541,"21,354"
WEINER,14428.00,1580,96.80%,2238,"14,903"
CHADWICK,14408.00,1581,90.50%,2093,"15,913"
BECKMAN,14385.00,1582,94.90%,2199,"15,164"
GENTILE,14382.00,1583,96.30%,2230,"14,938"
HUSTON,14368.00,1584,87.80%,2030,"16,364"
VARNER,14301.00,1585,82.80%,1910,"17,274"
LENTZ,14295.00,1586,96.10%,2248,"14,869"
PYLE,14271.00,1587,94.70%,2212,"15,066"
WHITT,14252.00,1588,86.40%,2016,"16,488"
CARMICHAEL,14249.00,1589,75.00%,1729,"19,011"
THORNE,14239.00,1590,78.10%,1812,"18,222"
LEONE,14234.00,1591,94.60%,2216,"15,047"
