Name,Count,Surname rank among whites,% of people with surname self-identifying as 'white',U.S. Rank,U.S. total occurrences
SMITH,1742947.00,1,73.30%,1,"2,376,206"
JOHNSON,1143082.00,2,61.60%,2,"1,857,160"
MILLER,967768.00,3,85.80%,6,"1,127,803"
BROWN,837886.00,4,60.70%,4,"1,380,145"
JONES,786173.00,5,57.70%,5,"1,362,755"
WILLIAMS,744317.00,6,48.50%,3,"1,534,042"
DAVIS,694122.00,7,64.70%,7,"1,072,335"
ANDERSON,591618.00,8,77.60%,12,"762,394"
WILSON,545943.00,9,69.70%,10,"783,051"
MARTIN,521149.00,10,77.50%,17,"672,711"
TAYLOR,488411.00,11,67.80%,13,"720,370"
MOORE,481035.00,12,68.90%,16,"698,671"
THOMPSON,467038.00,13,72.50%,19,"644,368"
WHITE,434295.00,14,67.90%,20,"639,515"
CLARK,421367.00,15,76.80%,25,"548,369"
THOMAS,394649.00,16,55.50%,14,"710,696"
HALL,355697.00,17,75.10%,30,"473,568"
BAKER,339279.00,18,82.10%,38,"413,351"
NELSON,330984.00,19,80.30%,40,"412,236"
ALLEN,325470.00,20,70.20%,32,"463,368"
YOUNG,321085.00,21,68.90%,31,"465,948"
HARRIS,319800.00,22,53.90%,24,"593,542"
KING,319582.00,23,72.80%,35,"438,986"
ADAMS,314648.00,24,76.20%,39,"413,086"
LEWIS,310904.00,25,61.00%,26,"509,930"
WALKER,307051.00,26,61.30%,28,"501,307"
WRIGHT,300771.00,27,68.30%,34,"440,367"
ROBERTS,291361.00,28,79.60%,45,"366,215"
CAMPBELL,284432.00,29,76.50%,43,"371,953"
JACKSON,279306.00,30,41.90%,18,"666,125"
PHILLIPS,277784.00,31,79.00%,47,"351,848"
HILL,275186.00,32,66.80%,41,"411,770"
SCOTT,262977.00,33,62.60%,36,"420,091"
ROBINSON,258255.00,34,51.30%,27,"503,028"
MURPHY,255576.00,35,85.00%,58,"300,501"
COOK,246213.00,36,83.50%,60,"294,795"
GREEN,245316.00,37,59.30%,37,"413,477"
LEE,242889.00,38,40.10%,22,"605,860"
EVANS,241790.00,39,70.60%,48,"342,237"
PETERSON,237333.00,40,86.30%,63,"275,041"
MORRIS,236684.00,41,75.90%,56,"311,754"
COLLINS,234953.00,42,73.90%,52,"317,848"
MITCHELL,233504.00,43,63.60%,44,"367,433"
PARKER,231803.00,44,71.50%,51,"324,246"
ROGERS,229046.00,45,77.80%,61,"294,403"
STEWART,224599.00,46,71.80%,54,"312,899"
TURNER,223787.00,47,66.70%,49,"335,663"
WOOD,222717.00,48,90.10%,75,"247,299"
CARTER,219378.00,49,60.50%,46,"362,548"
MORGAN,216891.00,50,78.50%,62,"276,400"
COX,214386.00,51,84.50%,72,"253,771"
KELLY,209324.00,52,80.40%,69,"260,385"
EDWARDS,206603.00,53,65.20%,53,"317,070"
BAILEY,198825.00,54,74.80%,66,"265,916"
WARD,197681.00,55,77.80%,71,"254,121"
REED,196597.00,56,73.50%,65,"267,443"
MYERS,194675.00,57,86.60%,85,"224,824"
SULLIVAN,192890.00,58,89.50%,92,"215,640"
COOPER,190040.00,59,70.40%,64,"270,097"
BENNETT,188853.00,60,79.00%,78,"239,055"
HUGHES,184888.00,61,80.60%,83,"229,390"
LONG,184047.00,62,82.30%,86,"223,494"
FISHER,177875.00,63,84.60%,100,"210,279"
PRICE,174106.00,64,76.10%,84,"228,756"
RUSSELL,171161.00,65,79.50%,93,"215,432"
HOWARD,170269.00,66,66.80%,70,"254,779"
GRAY,168374.00,67,71.10%,79,"236,713"
BELL,168303.00,68,63.60%,67,"264,752"
WATSON,166260.00,69,68.60%,76,"242,432"
REYNOLDS,162894.00,70,83.30%,106,"195,598"
FOSTER,159149.00,71,72.00%,87,"221,040"
ROSS,157184.00,72,71.50%,89,"219,961"
OLSON,157011.00,73,96.00%,136,"163,502"
RICHARDSON,155334.00,74,62.20%,74,"249,533"
SNYDER,151984.00,75,95.40%,144,"159,363"
POWELL,151500.00,76,70.00%,91,"216,553"
STEVENS,151302.00,77,83.40%,122,"181,417"
BROOKS,150999.00,78,62.70%,77,"240,751"
PERRY,150361.00,79,70.70%,97,"212,644"
WEST,146418.00,80,77.70%,115,"188,464"
COLE,145709.00,81,77.60%,116,"187,793"
WAGNER,145199.00,82,94.00%,152,"154,516"
MEYER,143782.00,83,96.10%,163,"149,664"
KENNEDY,142406.00,84,83.00%,130,"171,636"
BARNES,141932.00,85,67.40%,99,"210,426"
HAMILTON,141454.00,86,72.80%,107,"194,331"
GRAHAM,141364.00,87,72.80%,108,"194,074"
SCHMIDT,140441.00,88,96.50%,171,"145,565"
SANDERS,140140.00,89,63.40%,88,"220,902"
MCDONALD,139449.00,90,79.20%,127,"176,094"
PATTERSON,139169.00,91,70.10%,104,"198,557"
MURRAY,138431.00,92,77.60%,123,"178,414"
GIBSON,137522.00,93,74.60%,119,"184,420"
WALLACE,136889.00,94,71.80%,113,"190,760"
BUTLER,136544.00,95,64.70%,98,"210,879"
HAYES,134306.00,96,71.60%,117,"187,473"
BURNS,133257.00,97,82.20%,141,"162,153"
ELLIS,132484.00,98,72.80%,121,"181,934"
FOX,132356.00,99,89.80%,167,"147,357"
STONE,130927.00,100,87.40%,162,"149,802"
HENDERSON,130636.00,101,62.20%,101,"210,094"
WELLS,130212.00,102,76.30%,131,"170,635"
RYAN,130041.00,103,93.30%,177,"139,335"
JENKINS,128499.00,104,60.10%,95,"213,737"
HANSEN,127655.00,105,95.60%,193,"133,474"
WEBB,127090.00,106,77.70%,137,"163,481"
JAMES,126990.00,107,54.40%,80,"233,224"
JORDAN,126807.00,108,64.30%,105,"197,212"
GRIFFIN,126697.00,109,66.50%,114,"190,636"
HOFFMAN,126610.00,110,95.50%,195,"132,645"
HARRISON,124660.00,111,71.00%,128,"175,577"
ROSE,123754.00,112,84.20%,168,"146,924"
SIMMONS,122099.00,113,60.50%,103,"201,650"
MARSHALL,122082.00,114,68.90%,125,"177,213"
JOHNSTON,120077.00,115,93.10%,207,"128,935"
OWENS,120066.00,116,68.10%,126,"176,334"
NICHOLS,119638.00,117,84.30%,174,"141,936"
WEAVER,118975.00,118,85.70%,179,"138,811"
KELLEY,118036.00,119,85.80%,184,"137,555"
MILLS,117883.00,120,79.70%,165,"147,909"
ALEXANDER,117826.00,121,60.90%,111,"193,443"
TUCKER,117410.00,122,72.10%,139,"162,933"
PALMER,117122.00,123,77.90%,158,"150,407"
RICE,116639.00,124,79.60%,169,"146,440"
LARSON,116379.00,125,96.10%,224,"121,064"
SIMPSON,115975.00,126,73.30%,145,"158,241"
SHAW,115867.00,127,74.70%,150,"155,172"
CARLSON,115583.00,128,96.20%,225,"120,124"
HUNT,115555.00,129,76.00%,157,"151,986"
BLACK,115118.00,130,76.70%,160,"150,186"
FORD,114674.00,131,64.30%,124,"178,397"
PETERS,114311.00,132,85.20%,190,"134,231"
ARNOLD,113619.00,133,83.40%,187,"136,315"
ROBERTSON,113250.00,134,75.30%,159,"150,299"
PIERCE,112927.00,135,82.70%,186,"136,517"
DUNN,112782.00,136,82.30%,185,"136,955"
CRAWFORD,112756.00,137,71.30%,146,"158,121"
BRYANT,112039.00,138,61.00%,120,"183,761"
CARPENTER,111913.00,139,88.10%,211,"127,073"
PORTER,111660.00,140,71.20%,148,"156,848"
CARROLL,111433.00,141,85.10%,201,"131,020"
ELLIOTT,111092.00,142,83.90%,197,"132,457"
FREEMAN,110561.00,143,68.00%,140,"162,686"
MASON,110378.00,144,71.00%,149,"155,484"
FERGUSON,110305.00,145,77.50%,173,"142,256"
OBRIEN,109973.00,146,95.30%,234,"115,385"
HART,109563.00,147,82.70%,196,"132,466"
COLEMAN,108568.00,148,52.00%,102,"208,624"
WARREN,107232.00,149,72.50%,166,"147,906"
JENSEN,107210.00,150,95.40%,244,"112,332"
GARDNER,107087.00,151,77.20%,182,"138,660"
HICKS,106703.00,152,69.50%,155,"153,618"
STEPHENS,106193.00,153,76.50%,181,"138,742"
HENRY,105002.00,154,65.10%,142,"161,392"
GORDON,104968.00,155,67.80%,151,"154,934"
BURKE,104564.00,156,87.70%,229,"119,175"
WEBER,103098.00,157,95.60%,252,"107,866"
DUNCAN,102875.00,158,78.90%,203,"130,419"
RICHARDS,102709.00,159,81.70%,215,"125,653"
WOODS,102436.00,160,60.70%,133,"168,814"
HANSON,102392.00,161,93.90%,251,"109,079"
LANE,102158.00,162,79.40%,209,"128,727"
PAYNE,101713.00,163,73.70%,183,"138,028"
CHAPMAN,101648.00,164,81.60%,218,"124,614"
SCHULTZ,101015.00,165,96.20%,261,"104,962"
WHEELER,100742.00,166,82.80%,223,"121,684"
RAY,99931.00,167,77.60%,208,"128,794"
CUNNINGHAM,99661.00,168,75.60%,198,"131,896"
WALSH,98984.00,169,95.90%,265,"103,216"
KNIGHT,98618.00,170,74.80%,199,"131,860"
BISHOP,98503.00,171,86.40%,238,"114,034"
BOYD,98116.00,172,65.60%,164,"149,476"
ARMSTRONG,97435.00,173,75.00%,204,"129,982"
SCHNEIDER,97205.00,174,96.70%,272,"100,553"
HUNTER,97155.00,175,62.90%,153,"154,410"
SPENCER,96409.00,176,71.70%,189,"134,443"
LYNCH,96388.00,177,84.20%,237,"114,448"
MORRISON,96333.00,178,81.70%,231,"117,939"
RILEY,96072.00,179,75.10%,210,"127,960"
ANDREWS,95994.00,180,74.20%,206,"129,320"
BERRY,94815.00,181,73.30%,205,"129,405"
BRADLEY,93491.00,182,71.20%,200,"131,289"
PERKINS,90795.00,183,71.50%,212,"126,951"
HUDSON,90705.00,184,69.40%,202,"130,793"
WELCH,90568.00,185,85.60%,259,"105,804"
GILBERT,90273.00,186,80.30%,243,"112,406"
LAWRENCE,89424.00,187,71.90%,219,"124,321"
HOWELL,89143.00,188,81.30%,249,"109,634"
WALTERS,88962.00,189,85.30%,262,"104,281"
HOLMES,88928.00,190,59.20%,161,"150,166"
WILLIAMSON,88898.00,191,79.20%,245,"112,216"
JACOBS,88561.00,192,76.60%,233,"115,540"
DAVIDSON,88013.00,193,86.30%,269,"102,044"
LAWSON,87887.00,194,76.30%,235,"115,186"
KELLER,87633.00,195,92.90%,290,"94,300"
MAY,87016.00,196,85.50%,270,"101,726"
DIXON,86725.00,197,57.10%,156,"152,015"
DAY,86608.00,198,85.20%,271,"101,676"
CARR,86319.00,199,75.80%,239,"113,892"
DEAN,86008.00,200,78.70%,250,"109,230"
GEORGE,85569.00,201,71.40%,227,"119,778"
FOWLER,85524.00,202,83.30%,267,"102,620"
BECK,85457.00,203,91.70%,295,"93,161"
NEWMAN,85387.00,204,85.00%,273,"100,491"
HAWKINS,85266.00,205,63.60%,191,"134,066"
BECKER,84942.00,206,96.40%,315,"88,114"
BOWMAN,84756.00,207,82.90%,268,"102,239"
GREENE,84129.00,208,70.30%,228,"119,604"
HARPER,84051.00,209,70.10%,226,"119,868"
BREWER,83728.00,210,83.30%,274,"100,465"
MATTHEWS,82656.00,211,66.20%,217,"124,839"
POWERS,82274.00,212,91.00%,304,"90,401"
SCHWARTZ,81963.00,213,96.80%,330,"84,699"
WILLIS,81331.00,214,64.70%,216,"125,627"
FULLER,80577.00,215,75.50%,256,"106,682"
BARRETT,79805.00,216,83.20%,288,"95,896"
DANIELS,79338.00,217,57.20%,180,"138,776"
HARVEY,79280.00,218,70.70%,247,"112,136"
COHEN,79053.00,219,90.60%,320,"87,226"
CURTIS,79048.00,220,79.90%,280,"98,958"
WATKINS,79027.00,221,64.50%,222,"122,447"
HOLLAND,78769.00,222,78.90%,276,"99,885"
MONTGOMERY,78748.00,223,70.20%,246,"112,144"
AUSTIN,78725.00,224,69.60%,241,"113,160"
GRANT,78075.00,225,58.30%,192,"134,034"
GARRETT,78063.00,226,72.40%,253,"107,777"
ERICKSON,78014.00,227,96.40%,351,"80,936"
LAMBERT,77669.00,228,85.70%,303,"90,618"
KLEIN,76920.00,229,96.50%,359,"79,685"
ZIMMERMAN,76743.00,230,94.80%,350,"80,944"
WOLFE,76704.00,231,92.30%,337,"83,112"
MCCARTHY,76092.00,232,93.90%,348,"81,035"
STANLEY,76029.00,233,81.00%,292,"93,817"
BARKER,75455.00,234,88.50%,325,"85,221"
BURTON,74721.00,235,69.70%,255,"107,158"
OLIVER,74509.00,236,66.70%,248,"111,641"
LITTLE,74245.00,237,72.30%,266,"102,718"
LUCAS,73877.00,238,73.60%,275,"100,417"
LEONARD,73669.00,239,82.60%,308,"89,198"
PEARSON,73542.00,240,74.50%,281,"98,728"
MCCOY,73472.00,241,69.00%,258,"106,481"
CRAIG,72721.00,242,81.20%,307,"89,591"
BARNETT,72676.00,243,78.70%,300,"92,287"
BATES,72266.00,244,77.10%,293,"93,743"
GREGORY,71821.00,245,80.90%,312,"88,810"
HOPKINS,71482.00,246,75.60%,289,"94,603"
OCONNOR,70831.00,247,94.70%,385,"74,756"
WARNER,70630.00,248,86.30%,344,"81,824"
SWANSON,70424.00,249,92.00%,375,"76,539"
NORRIS,69882.00,250,82.00%,326,"85,212"
HALE,69674.00,251,84.00%,338,"82,955"
ROBBINS,69616.00,252,89.10%,364,"78,141"
HOLT,68776.00,253,81.20%,329,"84,710"
RHODES,68608.00,254,77.20%,310,"88,917"
CHRISTENSEN,68199.00,255,95.90%,412,"71,144"
STEELE,67811.00,256,80.40%,331,"84,353"
MCDANIEL,67742.00,257,78.50%,323,"86,317"
BENSON,67370.00,258,80.00%,332,"84,233"
MANN,67329.00,259,83.10%,349,"81,022"
SHELTON,67287.00,260,76.20%,313,"88,326"
LOWE,67142.00,261,75.30%,309,"89,178"
HIGGINS,67110.00,262,85.90%,365,"78,107"
FISCHER,67088.00,263,95.70%,419,"70,095"
DOYLE,66710.00,264,90.70%,391,"73,518"
GRIFFITH,66450.00,265,85.80%,369,"77,429"
REID,65774.00,266,63.20%,263,"104,007"
FRANKLIN,65722.00,267,57.20%,236,"114,859"
QUINN,65684.00,268,88.10%,386,"74,531"
FLEMING,65601.00,269,74.60%,317,"87,949"
SUTTON,65600.00,270,75.10%,319,"87,373"
BALL,65562.00,271,84.50%,366,"77,561"
MCLAUGHLIN,65559.00,272,89.60%,392,"73,128"
WOLF,65432.00,273,95.00%,427,"68,905"
SHARP,65430.00,274,85.10%,371,"76,868"
GALLAGHER,65406.00,275,96.10%,433,"68,075"
BOWEN,65146.00,276,84.50%,370,"77,078"
FITZGERALD,64721.00,277,88.00%,390,"73,522"
GROSS,64338.00,278,86.60%,387,"74,285"
SCHROEDER,64247.00,279,96.70%,450,"66,412"
POTTER,64227.00,280,90.30%,413,"71,103"
CALDWELL,64183.00,281,70.30%,301,"91,338"
JENNINGS,63868.00,282,73.40%,321,"87,038"
REEVES,63686.00,283,79.80%,358,"79,817"
ADKINS,63603.00,284,88.90%,408,"71,528"
BRADY,63360.00,285,89.00%,411,"71,175"
LYONS,63240.00,286,76.90%,339,"82,258"
MULLINS,63201.00,287,89.90%,416,"70,286"
WADE,62654.00,288,67.50%,297,"92,834"
BALDWIN,62624.00,289,79.10%,361,"79,151"
VAUGHN,62613.00,290,73.60%,327,"85,037"
MUELLER,62350.00,291,97.00%,467,"64,305"
CHAMBERS,62144.00,292,68.80%,305,"90,325"
PAGE,62108.00,293,77.20%,354,"80,493"
PARKS,61720.00,294,71.50%,322,"86,346"
BLAIR,61708.00,295,82.10%,380,"75,135"
FIELDS,61677.00,296,59.70%,264,"103,242"
PARSONS,61377.00,297,92.70%,453,"66,203"
FLETCHER,61120.00,298,75.50%,352,"80,932"
WATTS,61058.00,299,70.80%,324,"86,228"
SIMS,60957.00,300,56.80%,254,"107,244"
RAMSEY,60948.00,301,79.50%,373,"76,625"
HARTMAN,60904.00,302,95.40%,470,"63,827"
KRAMER,60798.00,303,96.50%,474,"63,023"
BUSH,60442.00,304,74.10%,346,"81,524"
HORTON,60262.00,305,72.20%,335,"83,523"
BAUER,59711.00,306,96.30%,484,"61,979"
BARBER,59581.00,307,77.90%,376,"76,504"
SHERMAN,59301.00,308,84.90%,422,"69,840"
DOUGLAS,59147.00,309,61.30%,286,"96,425"
GRAVES,59128.00,310,72.00%,340,"82,179"
CHANDLER,58433.00,311,76.80%,379,"76,114"
CROSS,58364.00,312,77.70%,382,"75,134"
BARTON,58048.00,313,87.10%,447,"66,622"
HARMON,57938.00,314,80.00%,399,"72,414"
CUMMINGS,57891.00,315,75.50%,372,"76,707"
FLYNN,57820.00,316,93.60%,487,"61,747"
TODD,57810.00,317,82.80%,423,"69,810"
MCKINNEY,57697.00,318,71.60%,353,"80,616"
GOODMAN,57657.00,319,80.70%,409,"71,482"
TERRY,57421.00,320,68.80%,336,"83,437"
CASEY,57368.00,321,88.50%,463,"64,815"
FRANK,57144.00,322,86.70%,454,"65,918"
DAWSON,56518.00,323,70.50%,355,"80,190"
OWEN,56446.00,324,93.40%,496,"60,461"
NEWTON,56344.00,325,77.90%,400,"72,328"
THORNTON,56290.00,326,69.30%,347,"81,191"
MORAN,56105.00,327,71.40%,362,"78,546"
SHAFFER,56035.00,328,94.60%,505,"59,227"
MCCORMICK,55833.00,329,89.10%,475,"62,663"
BURGESS,55686.00,330,77.80%,407,"71,604"
MCGUIRE,55631.00,331,89.60%,482,"62,116"
GOODWIN,55542.00,332,79.00%,415,"70,333"
HESS,55474.00,333,95.90%,518,"57,822"
NORTON,55414.00,334,89.70%,485,"61,805"
FRENCH,55407.00,335,87.70%,473,"63,149"
OSBORNE,55261.00,336,84.00%,457,"65,802"
MANNING,55234.00,337,76.60%,402,"72,069"
BOWERS,55041.00,338,85.30%,466,"64,496"
ROTH,54903.00,339,96.30%,527,"57,030"
HARRINGTON,54658.00,340,83.90%,462,"65,131"
OLSEN,54650.00,341,95.30%,521,"57,357"
ROWE,54414.00,342,82.20%,452,"66,205"
BYRD,54397.00,343,61.30%,311,"88,811"
NEAL,54242.00,344,64.70%,333,"83,849"
HAMMOND,54173.00,345,80.80%,442,"67,063"
WEISS,54160.00,346,96.50%,531,"56,153"
FARMER,53971.00,347,79.00%,431,"68,309"
WISE,53838.00,348,80.70%,445,"66,738"
SPARKS,53471.00,349,85.90%,481,"62,234"
GARNER,53419.00,350,74.10%,403,"72,052"
WEBSTER,53406.00,351,76.20%,418,"70,123"
PAUL,53319.00,352,73.80%,401,"72,248"
RODGERS,53247.00,353,72.90%,394,"73,021"
MOSS,53004.00,354,71.90%,389,"73,750"
GARCIA,52956.00,355,6.20%,8,"858,289"
PETERSEN,52509.00,356,95.20%,543,"55,185"
SIMON,52342.00,357,69.90%,383,"74,839"
HOOVER,52295.00,358,93.30%,532,"56,068"
HODGES,52285.00,359,75.90%,428,"68,868"
HAYNES,52274.00,360,63.70%,341,"82,037"
FRAZIER,52156.00,361,59.10%,314,"88,325"
MILES,52118.00,362,63.60%,342,"81,933"
DECKER,51929.00,363,95.40%,555,"54,450"
MARSH,51855.00,364,85.00%,494,"60,999"
MEYERS,51734.00,365,91.20%,528,"56,744"
STRICKLAND,51657.00,366,78.50%,456,"65,814"
BLAKE,51294.00,367,74.00%,425,"69,279"
DENNIS,51227.00,368,68.50%,384,"74,784"
LAMB,51183.00,369,87.40%,511,"58,555"
BUCHANAN,51009.00,370,79.90%,471,"63,825"
HOGAN,50788.00,371,82.40%,488,"61,651"
BROCK,50742.00,372,85.00%,502,"59,682"
YATES,50723.00,373,82.60%,491,"61,400"
COCHRAN,50680.00,374,87.00%,514,"58,233"
LARSEN,50654.00,375,95.60%,572,"52,963"
CONNER,50373.00,376,80.80%,480,"62,335"
LANG,50364.00,377,84.20%,499,"59,843"
DANIEL,50355.00,378,67.00%,380,"75,135"
HUBBARD,49975.00,379,73.50%,435,"68,021"
MAXWELL,49854.00,380,75.80%,458,"65,779"
WATERS,49540.00,381,75.30%,455,"65,817"
CANNON,49068.00,382,72.20%,436,"67,923"
PATTON,48942.00,383,75.60%,464,"64,772"
REESE,48915.00,384,68.20%,405,"71,754"
HARDY,48776.00,385,63.70%,374,"76,608"
GILL,48708.00,386,70.90%,430,"68,699"
MALONE,48341.00,387,69.80%,426,"69,257"
DRAKE,48331.00,388,81.80%,506,"59,055"
PRATT,48002.00,389,80.30%,500,"59,801"
STEVENSON,47956.00,390,65.80%,395,"72,892"
SHORT,47914.00,391,85.70%,536,"55,903"
WALL,47764.00,392,87.80%,557,"54,401"
FOLEY,47597.00,393,93.60%,605,"50,852"
SWEENEY,47442.00,394,92.10%,591,"51,500"
TOWNSEND,47192.00,395,70.60%,444,"66,853"
WILCOX,47173.00,396,85.80%,546,"54,987"
WILKINSON,47166.00,397,89.90%,576,"52,483"
HENSLEY,46986.00,398,94.20%,618,"49,858"
ABBOTT,46974.00,399,91.00%,588,"51,620"
FARRELL,46961.00,400,91.90%,599,"51,095"
SHEPHERD,46916.00,401,81.00%,515,"57,935"
SAUNDERS,46825.00,402,69.70%,439,"67,210"
MARTINEZ,46814.00,403,6.00%,11,"775,072"
NORMAN,46720.00,404,71.60%,461,"65,269"
MCGEE,46708.00,405,64.90%,404,"71,925"
BRYAN,46691.00,406,84.50%,542,"55,269"
MCBRIDE,46575.00,407,76.50%,495,"60,874"
BERG,46497.00,408,95.90%,637,"48,480"
COMBS,46463.00,409,87.40%,570,"53,180"
LOVE,46446.00,410,59.30%,363,"78,323"
BRENNAN,46350.00,411,96.00%,642,"48,296"
CAIN,46339.00,412,80.10%,516,"57,873"
CLINE,46305.00,413,94.20%,628,"49,167"
HUFFMAN,46196.00,414,92.90%,620,"49,737"
BALLARD,46111.00,415,77.30%,503,"59,660"
COBB,45937.00,416,72.10%,472,"63,739"
KIRBY,45898.00,417,87.50%,577,"52,473"
ONEILL,45873.00,418,94.30%,633,"48,656"
FRANCIS,45824.00,419,63.90%,406,"71,723"
KOCH,45815.00,420,96.90%,657,"47,286"
LLOYD,45810.00,421,74.90%,493,"61,154"
RUSSO,45787.00,422,95.10%,645,"48,126"
CAREY,45702.00,423,83.20%,547,"54,924"
CALLAHAN,45577.00,424,91.30%,617,"49,925"
MOODY,45505.00,425,73.00%,479,"62,344"
MORROW,45411.00,426,81.60%,538,"55,664"
UNDERWOOD,45338.00,427,81.00%,535,"55,973"
YORK,45030.00,428,87.70%,596,"51,334"
POPE,44991.00,429,72.90%,486,"61,750"
BOYER,44929.00,430,90.60%,622,"49,601"
HUFF,44671.00,431,82.90%,564,"53,892"
MORTON,44644.00,432,75.90%,509,"58,788"
SUMMERS,44634.00,433,80.60%,541,"55,391"
BRIGGS,44629.00,434,77.90%,522,"57,297"
HORN,44572.00,435,86.70%,593,"51,380"
KANE,44470.00,436,91.60%,636,"48,527"
WALTON,44416.00,437,62.60%,414,"70,997"
PHELPS,44412.00,438,86.80%,598,"51,154"
RODRIGUEZ,44394.00,439,5.50%,9,"804,240"
DALTON,44342.00,440,88.40%,615,"50,166"
PATRICK,44287.00,441,76.00%,513,"58,257"
CONLEY,44152.00,442,81.50%,562,"54,194"
KIRK,44117.00,443,84.70%,582,"52,056"
CURRY,44041.00,444,61.70%,410,"71,344"
HANCOCK,43741.00,445,88.70%,625,"49,330"
FLOYD,43577.00,446,67.90%,469,"64,141"
MACDONALD,43516.00,447,95.10%,685,"45,782"
YODER,43409.00,448,98.10%,707,"44,245"
LOGAN,43318.00,449,67.10%,465,"64,576"
LINDSEY,43237.00,450,70.60%,492,"61,199"
NICHOLSON,43109.00,451,77.00%,534,"55,986"
JACOBSON,43101.00,452,96.00%,695,"44,874"
GARRISON,43066.00,453,85.30%,611,"50,482"
WALTER,42934.00,454,90.20%,651,"47,615"
KLINE,42826.00,455,95.40%,694,"44,900"
ALLISON,42753.00,456,83.00%,590,"51,504"
SKINNER,42727.00,457,81.40%,575,"52,490"
SILVA,42492.00,458,33.70%,214,"126,164"
CHASE,42475.00,459,83.70%,606,"50,777"
INGRAM,42459.00,460,63.70%,446,"66,665"
GIBBS,42409.00,461,67.80%,478,"62,514"
BURNETT,42104.00,462,72.80%,517,"57,859"
ATKINSON,42082.00,463,81.70%,592,"51,489"
DILLON,42016.00,464,86.00%,631,"48,833"
VINCENT,41647.00,465,82.30%,608,"50,628"
HEATH,41619.00,466,82.70%,614,"50,307"
BRUCE,41525.00,467,79.80%,583,"52,004"
CARSON,41458.00,468,74.30%,537,"55,821"
STEIN,41420.00,469,95.60%,720,"43,331"
CLARKE,41368.00,470,66.10%,476,"62,546"
BOOTH,41366.00,471,85.20%,635,"48,580"
GREER,41297.00,472,75.60%,552,"54,611"
RICH,41295.00,473,87.00%,654,"47,477"
ODONNELL,41287.00,474,96.50%,728,"42,802"
HINES,41214.00,475,60.50%,432,"68,145"
HOOD,41157.00,476,76.60%,566,"53,737"
BANKS,41008.00,477,41.30%,278,"99,294"
POOLE,40986.00,478,74.90%,549,"54,706"
BERGER,40899.00,479,93.90%,716,"43,556"
CAMERON,40834.00,480,77.90%,578,"52,439"
BLANKENSHIP,40521.00,481,95.00%,731,"42,663"
MCCLURE,40324.00,482,86.70%,672,"46,505"
MASSEY,40313.00,483,75.40%,568,"53,459"
EATON,40250.00,484,86.70%,676,"46,403"
BARRY,40184.00,485,89.20%,691,"45,044"
RANDALL,40090.00,486,76.40%,574,"52,495"
DAVENPORT,40080.00,487,73.90%,561,"54,206"
TYLER,40072.00,488,64.10%,477,"62,534"
PARRISH,40010.00,489,81.90%,632,"48,823"
MELTON,39988.00,490,82.30%,634,"48,594"
DYER,39970.00,491,85.80%,671,"46,574"
WHITAKER,39888.00,492,73.40%,558,"54,343"
STOUT,39883.00,493,93.50%,730,"42,669"
BOND,39856.00,494,78.20%,603,"50,980"
ROY,39730.00,495,79.90%,621,"49,725"
SNOW,39635.00,496,86.70%,687,"45,689"
WYATT,39621.00,497,77.90%,604,"50,874"
SAWYER,39592.00,498,82.50%,646,"47,979"
KNAPP,39575.00,499,95.90%,760,"41,267"
BAXTER,39525.00,500,82.60%,647,"47,857"
HENSON,39366.00,501,84.50%,669,"46,609"
NOLAN,39348.00,502,88.60%,705,"44,421"
BARTLETT,39294.00,503,92.40%,735,"42,512"
SCHAEFER,39285.00,504,96.60%,773,"40,663"
MARKS,39277.00,505,81.40%,644,"48,281"
STARK,39230.00,506,93.70%,751,"41,863"
NIELSEN,39215.00,507,95.60%,765,"41,007"
CLAYTON,39203.00,508,71.40%,548,"54,875"
GATES,39142.00,509,77.10%,607,"50,748"
SEXTON,39101.00,510,92.90%,747,"42,080"
TATE,39088.00,511,58.20%,440,"67,208"
TANNER,39014.00,512,84.10%,675,"46,412"
BASS,38995.00,513,71.80%,559,"54,296"
MCKEE,38964.00,514,89.50%,717,"43,555"
MATHEWS,38918.00,515,76.90%,609,"50,608"
HERMAN,38871.00,516,92.30%,746,"42,091"
SHIELDS,38792.00,517,78.30%,623,"49,556"
STEPHENSON,38739.00,518,83.00%,668,"46,662"
REILLY,38726.00,519,96.10%,780,"40,310"
HURST,38572.00,520,86.50%,702,"44,587"
JOHNS,38422.00,521,81.20%,656,"47,289"
VANCE,38175.00,522,83.40%,686,"45,763"
RICHARD,38160.00,523,73.20%,581,"52,138"
HOBBS,38154.00,524,80.80%,659,"47,220"
BUCK,38137.00,525,89.90%,737,"42,441"
KERR,38136.00,526,89.20%,729,"42,758"
GRIMES,38125.00,527,77.40%,626,"49,245"
BROWNING,37947.00,528,89.00%,732,"42,642"
KEITH,37945.00,529,81.20%,663,"46,747"
COLLIER,37872.00,530,69.60%,556,"54,414"
MCKENZIE,37832.00,531,68.70%,544,"55,084"
MORSE,37638.00,532,91.50%,762,"41,112"
CONRAD,37539.00,533,93.60%,786,"40,102"
HUTCHINSON,37482.00,534,78.40%,649,"47,809"
HOWE,37412.00,535,92.30%,775,"40,555"
SAVAGE,37359.00,536,77.20%,640,"48,367"
HAMPTON,37358.00,537,56.30%,451,"66,378"
BOYLE,37192.00,538,95.00%,802,"39,141"
